nume;artist;vizualizari;venituri;lansare;aparitie;durata;gen;tara;colab
In Da Getto;J Balvin;15971386; 79.856,93  USD ;02.07.2021;16.09.2021;2:10;LATIN URBAN;Columbia;Nu
Qué Más Pues?;J Balvin;15384428; 76.922,14  USD ;28.05.2021;16.09.2021;3:37;LATIN URBAN;Columbia;Nu
Levitating (with DaBaby);Dua Lipa;15279109; 76.395,55  USD ;27.03.2020;16.09.2021;3:23;POP;Marea Britanie;Da
traitor;Olivia Rodrigo;14922433; 74.612,17  USD ;21.05.2021;16.09.2021;3:49;POP;SUA;Nu
Cold Heart - PNAU Remix;Elton John;14689417; 73.447,09  USD ;13.08.2021;16.09.2021;3:22;POP;Marea Britanie;Nu
Peaches (with Daniel Caesar & Giveon);Justin Bieber;14439357; 72.196,79  USD ;19.03.2021;16.09.2021;3:18;POP;Canada;Da
Take My Breath;The Weeknd;14287625; 71.438,13  USD ;06.08.2021;16.09.2021;3:40;R&B/SOUL;Canada;Nu
family ties (with Kendrick Lamar);Baby Keem;14079036; 70.395,18  USD ;27.08.2021;16.09.2021;4:12;HIP-HOP/RAP;SUA;Da
I WANNA BE YOUR SLAVE;Måneskin;14073872; 70.369,36  USD ;19.03.2021;16.09.2021;2:53;ROCK;Italia;Nu
Life Goes On;Oliver Tree;13828796; 69.143,98  USD ;21.09.2021;16.09.2021;3:21;POP;SUA;Nu
Champagne Poetry;Drake;13239717; 66.198,59  USD ;21.09.2021;16.09.2021;3:56;HIP-HOP/RAP;Canada;Nu
Blinding Lights;The Weeknd;13064129; 65.320,65  USD ;29.11.2019;16.09.2021;3:21;R&B/SOUL;Canada;Nu
Save Your Tears (with Ariana Grande) (Remix);The Weeknd;12574176; 62.870,88  USD ;20.03.2020;16.09.2021;3:35;R&B/SOUL;Canada;Da
Get Into It (Yuh);Doja Cat;12006248; 60.031,24  USD ;25.06.2021;16.09.2021;2:18;POP;SUA;Nu
PariÌs;Ingratax;11940428; 59.702,14  USD ;21.09.2021;16.09.2021;3:09;ALTERNATIVE;Panama;Nu
2055;Sleepy Hallow;11928780; 59.643,90  USD ;14.04.2021;16.09.2021;2:03;HIP-HOP/RAP;Jamaica;Nu
drivers license;Olivia Rodrigo;11772296; 58.861,48  USD ;08.01.2021;16.09.2021;4:02;POP;SUA;Nu
Volando - Remix;Mora;11318170; 56.590,85  USD ;08.07.2021;16.09.2021;4:33;LATIN;Puerto Rico;Nu
deja vu;Olivia Rodrigo;11239468; 56.197,34  USD ;21.05.2021;16.09.2021;3:35;POP;SUA;Nu
AM Remix;Nio Garcia;11223289; 56.116,45  USD ;24.06.2021;16.09.2021;4:21;LATIN URBAN;Puerto Rico;Nu
Cúrame;Rauw Alejandro;10920030; 54.600,15  USD ;25.06.2021;16.09.2021;2:44;LATIN URBAN;Puerto Rico;Nu
Don't Be Shy;TiÃ«sto;10784250; 53.921,25  USD ;04.05.2021;16.09.2021;3:23;R&B/SOUL;Olanda;Nu
Butter;BTS;10746280; 53.731,40  USD ;21.05.2021;16.09.2021;2:44;K-POP;Korea de Sud;Nu
Sobrio;Maluma;10575749; 52.878,75  USD ;08.07.2021;16.09.2021;3:21;LATIN URBAN;Columbia;Nu
Meet Me At Our Spot;THE ANXIETY;10568134; 52.840,67  USD ;19.04.2021;16.09.2021;3:02;HIP-HOP/RAP;SUA;Nu
Moon;Kanye West;10483865; 52.419,33  USD ;29.08.2021;16.09.2021;2:36;HIP-HOP/RAP;SUA;Nu
Ley Seca;Jhay Cortez;10423194; 52.115,97  USD ;04.04.2021;16.09.2021;4:56;LATIN URBAN;Columbia;Nu
Una Nota;J Balvin;10060200; 50.301,00  USD ;02.02.2021;16.09.2021;2:32;LATIN URBAN;Puerto Rico;Nu
No Friends In The Industry;Drake;10034595; 50.172,98  USD ;21.09.2021;16.09.2021;3:05;HIP-HOP/RAP;Canada;Nu
Entre Nosotros;Tiago PZK;10033710; 50.168,55  USD ;09.07.2021;16.09.2021;3:12;RHYTHM & BLUES;Argentina;Nu
Watermelon Sugar;Harry Styles;9959249; 49.796,25  USD ;13.12.2019;16.09.2021;2:53;POP;Marea Britanie;Nu
Off The Grid;Kanye West;9867544; 49.337,72  USD ;29.08.2021;16.09.2021;5:39;HIP-HOP/RAP;SUA;Nu
MONEY;LISA;9574461; 47.872,31  USD ;06.09.2021;16.09.2021;2:22;POP;Canada;Nu
Leave The Door Open;Bruno Mars;9556410; 47.782,05  USD ;05.03.2021;16.09.2021;4:02;R&B/SOUL;Puerto Rico;Nu
Don't Go Yet;Camila Cabello;9494671; 47.473,36  USD ;23.07.2021;16.09.2021;2:44;POP;Cuba;Nu
Like I Can;Sam Smith;9402105; 47.010,53  USD ;21.03.2021;16.09.2021;4:12;POP;Marea Britanie;Nu
happier;Olivia Rodrigo;9335437; 46.677,19  USD ;21.05.2021;16.09.2021;2:55;POP;SUA;Nu
Dákiti;Bad Bunny;9212447; 46.062,24  USD ;30.10.2020;16.09.2021;3:25;LATIN;Puerto Rico;Nu
TSU;Drake;9123400; 45.617,00  USD ;21.09.2021;16.09.2021;3:21;hIP-HOP/RAP;Canada;Nu
Love Tonight - Edit;Shouse;9105727; 45.528,64  USD ;14.12.2017;16.09.2021;4:01;ELECTRONIC;Australia;Nu
OUT OUT (with Charli XCX & Saweetie);Joel Corry;9098393; 45.491,97  USD ;23.06.2021;16.09.2021;4:21;ROCK;Marea Britanie;Da
Permission to Dance;BTS;9059053; 45.295,27  USD ;09.07.2021;16.09.2021;3:07;K-POP;Korea de Sud;Nu
Mood (with iann dior);24kGoldn;9054989; 45.274,95  USD ;20.05.2021;16.09.2021;2:17;HIP-HOP/RAP;SUA;Da
Dark Red;Steve Lacy;8930762; 44.653,81  USD ;20.04.2021;16.09.2021;3:41;DANCE;SUA;Nu
Ain't Shit;Doja Cat;8916313; 44.581,57  USD ;25.06.2021;16.09.2021;2:54;POP;SUA;Nu
Sweater Weather;The Neighbourhood;8791698; 43.958,49  USD ;03.02.2021;16.09.2021;2:18;R&B/SOUL;SUA;Nu
Miénteme;TINI;8661757; 43.308,79  USD ;01.05.2021;16.09.2021;2:45;LATIN URBAN;Argentina;Nu
Pareja Del AÃ±o;Sebastian Yatra;8659515; 43.297,58  USD ;11.02.2021;16.09.2021;4:57;LATIN URBAN;Columbia;Nu
Friday (with Mufasa & Hypeman) - Dopamine Re-Edit;Riton;8652845; 43.264,23  USD ;15.01.2021;16.09.2021;2:49;DANCE;Marea Britanie;Da
Papiâ€™s Home;Drake;8522529; 42.612,65  USD ;21.09.2021;16.09.2021;3:26;hIP-HOP/RAP;Canada;Nu
Freaks;Surf Curse;8495021; 42.475,11  USD ;02.02.2021;16.09.2021;3:23;POP;SUA;Nu
Dynamite;BTS;8494434; 42.472,17  USD ;20.09.2021;16.09.2021;2:21;K-POP;Korea de Sud;Nu
Tiroteo - Remix;Marc SeguÃ­;8465865; 42.329,33  USD ;01.04.2021;16.09.2021;5:21;LATIN URBAN;Puerto Rico;Nu
Someone You Loved;Lewis Capaldi;8329722; 41.648,61  USD ;30.06.2021;16.09.2021;3:28;HIP-HOP/RAP;Scoția;Nu
I GUESS I'M IN LOVE;Clinton Kane;8314437; 41.572,19  USD ;05.06.2021;16.09.2021;2:44;HIP-HOP/RAP;Norvegia;Nu
Leave Before You Love Me (with Jonas Brothers);Marshmello;8298712; 41.493,56  USD ;27.09.2021;16.09.2021;4:02;ROCK;SUA;Da
Astronaut In The Ocean;Masked Wolf;8259911; 41.299,56  USD ;30.08.2021;16.09.2021;4:03;POP;Australia;Nu
Don't Start Now;Dua Lipa;8202435; 41.012,18  USD ;21.02.2021;16.09.2021;2:49;K-POP;Marea Britanie;Nu
911 - Remix;Sech;8155094; 40.775,47  USD ;09.07.2021;16.09.2021;3:28;LATIN URBAN;Panama;Nu
jealousy, jealousy;Olivia Rodrigo;8077632; 40.388,16  USD ;21.05.2021;16.09.2021;2:53;POP;SUA;Nu
Where Are You Now;Lost Frequencies;8064157; 40.320,79  USD ;06.09.2019;16.09.2021;2:23;POP;SUA;Nu
In The Bible (with Lil Durk & Giveon);Drake;8039670; 40.198,35  USD ;21.09.2021;16.09.2021;2:23;HIP-HOP/RAP;Canada;Da
Love All (with JAY-Z);Drake;8007543; 40.037,72  USD ;21.09.2021;16.09.2021;3:04;HIP-HOP/RAP;Canada;Da
Love Again;Dua Lipa;8006303; 40.031,52  USD ;04.03.2021;16.09.2021;3:22;ELECTRONIC;Marea Britanie;Nu
Summer of Love (Shawn Mendes & Tainy);Shawn Mendes;8004957; 40.024,79  USD ;20.08.2021;16.09.2021;3:04;POP;Canada;Nu
The Business;TiÃ«sto;7804531; 39.022,66  USD ;20.05.2021;16.09.2021;2:55;DANCE;Olanda;Nu
favorite crime;Olivia Rodrigo;7716236; 38.581,18  USD ;30.05.2021;16.09.2021;3:35;ALTERNATIVE;SUA;Nu
Loco;Justin Quiles;7664269; 38.321,35  USD ;23.04.2021;16.09.2021;4:47;K-POP;SUA;Nu
N 2 Deep;Drake;7553884; 37.769,42  USD ;21.09.2021;16.09.2021;3:47;HIP-HOP/RAP;Canada;Nu
Save Your Tears;The Weeknd;7510269; 37.551,35  USD ;13.01.2021;16.09.2021;4:03;ELECTRONIC;Canada;Nu
Chosen (with Ty Dolla $ign);Blxst;7506959; 37.534,80  USD ;12.07.2021;16.09.2021;4:58;ALTERNATIVE;SUA;Da
Poblado - Remix;J Balvin;7486880; 37.434,40  USD ;30.04.2021;16.09.2021;2:53;ELECTRONIC;Columbia;Nu
double take;dhruv;7393139; 36.965,70  USD ;29.07.2021;16.09.2021;3:31;LATIN;India;Nu
edamame (with Rich Brian);bbno$;7337211; 36.686,06  USD ;24.04.2020;16.09.2021;2:10;R&B/SOUL;Canada;Da
RAPSTAR;Polo G;7335785; 36.678,93  USD ;18.02.2021;16.09.2021;2:25;RHYTHM & BLUES;SUA;Nu
Jail;Kanye West;7290622; 36.453,11  USD ;29.08.2021;16.09.2021;4:57;HIP-HOP/RAP;SUA;Nu
ArranhÃ£o - Ao Vivo;Henrique & Juliano;7057115; 35.285,58  USD ;17.02.2021;16.09.2021;2:49;LATIN URBAN;Brazilia;Nu
Heartbreak Anniversary;Giveon;7005873; 35.029,37  USD ;07.09.2021;16.09.2021;2:17;ALTERNATIVE;SUA;Nu
"Raataan Lambiyan (From ""Shershaah"")";Tanishk Bagchi;6966457; 34.832,29  USD ;22.04.2021;16.09.2021;3:32;HIP-HOP/RAP;India;Nu
Believer;Imagine Dragons;6952543; 34.762,72  USD ;23.06.2021;16.09.2021;3:50;HIP-HOP/RAP;SUA;Nu
lovely (with Khalid);Billie Eilish;6914740; 34.573,70  USD ;08.07.2021;16.09.2021;4:02;LATIN URBAN;SUA;Da
Perfect;Ed Sheeran;6881233; 34.406,17  USD ;13.02.2021;16.09.2021;3:21;POP;Marea Britanie;Nu
Before You Go;Lewis Capaldi;6854130; 34.270,65  USD ;30.01.2021;16.09.2021;3:15;HIP-HOP/RAP;Scoția;Nu
positions;Ariana Grande;6842222; 34.211,11  USD ;21.04.2021;16.09.2021;3:37;POP;SUA;Nu
NostÃ¡lgico;Rauw Alejandro;6827051; 34.135,26  USD ;21.03.2021;16.09.2021;4:21;LATIN URBAN;Columbia;Nu
Meu PedaÃ§o de Pecado;JoÃ£o Gomes;6821787; 34.108,94  USD ;13.09.2021;16.09.2021;3:19;HIP-HOP/RAP;Brazilia;Nu
Dance Monkey;Tones And I;6808681; 34.043,41  USD ;31.07.2021;16.09.2021;3:40;HIP-HOP/RAP;Australia;Nu
Circles;Post Malone;6802792; 34.013,96  USD ;18.02.2021;16.09.2021;3:26;POP;SUA;Nu
Run;OneRepublic;6789965; 33.949,83  USD ;27.03.2021;16.09.2021;2:21;R&B/SOUL;SUA;Nu
Butter (with Megan Thee Stallion);BTS;6764457; 33.822,29  USD ;27.08.2021;16.09.2021;2:44;K-POP;Korea de Sud;Da
Arcade;Duncan Laurence;6629131; 33.145,66  USD ;17.04.2021;16.09.2021;3:49;HIP-HOP/RAP;Olanda;Nu
range brothers (with Kendrick Lamar);Baby Keem;6609971; 33.049,86  USD ;17.04.2021;16.09.2021;3:21;HIP-HOP/RAP;USA;Da
Chega E Senta - Ao Vivo;John Amplificado;6521903; 32.609,52  USD ;21.04.2021;16.09.2021;3:30;R&B/SOUL;Brazilia;Nu
You Right;Doja Cat;6505182; 32.525,91  USD ;07.03.2021;16.09.2021;2:36;LATIN URBAN;SUA;Nu
Quer Voar;MatuÃª;6486642; 32.433,21  USD ;31.03.2021;16.09.2021;2:08;HIP-HOP/RAP;Brazilia;Nu
telepatÃ­a;Kali Uchis;6475476; 32.377,38  USD ;31.01.2021;16.09.2021;5:33;HIP-HOP/RAP;SUA;Nu
A-O-K;Tai Verdes;6462929; 32.314,65  USD ;04.08.2021;16.09.2021;2:25;HIP-HOP/RAP;SUA;Nu
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6448362; 32.241,81  USD ;25.09.2021;16.09.2021;2:58;LATIN URBAN;SUA;Nu
Wow Wow (with Becky G);Maria Becerra;6435858; 32.179,29  USD ;06.07.2021;16.09.2021;3:21;HIP-HOP/RAP;Argentina;Da
Pipe Down;Drake;6333718; 31.668,59  USD ;21.09.2021;16.09.2021;3:45;hIP-HOP/RAP;Canada;Nu
Jugaste y SufrÃ­;Eslabon Armado;6312982; 31.564,91  USD ;19.02.2021;16.09.2021;2:30;LATIN;Puerto Rico;Nu
Shape of You;Ed Sheeran;6310216; 31.551,08  USD ;23.04.2021;16.09.2021;2:35;LATIN URBAN;Marea Britanie;Nu
WITHOUT YOU;The Kid LAROI;6306718; 31.533,59  USD ;16.02.2021;16.09.2021;2:44;LATIN URBAN;Australia;Da
ALMAS GEMELAS;Myke Towers;6303244; 31.516,22  USD ;04.05.2021;16.09.2021;4:33;POP;Puerto Rico;Nu
Levitating;Dua Lipa;6268894; 31.344,47  USD ;29.04.2021;16.09.2021;3:23;LATIN URBAN;Marea Britanie;Nu
Happier Than Ever - Edit;Billie Eilish;6259285; 31.296,43  USD ;16.05.2021;16.09.2021;3:33;ALTERNATIVE;SUA;Nu
"Ranjha (From ""Shershaah"")";Jasleen Royal;6254534; 31.272,67  USD ;13.06.2021;16.09.2021;3:46;POP;India;Nu
Beautiful Mistakes (with Megan Thee Stallion);Maroon 5;6254413; 31.272,07  USD ;25.05.2021;16.09.2021;3:23;HIP-HOP/RAP;SUA;Da
Have Mercy;ChlÃ¶e;6247305; 31.236,53  USD ;21.04.2021;16.09.2021;2:59;LATIN;Puerto Rico;Nu
Smells Like Teen Spirit;Nirvana;6138420; 30.692,10  USD ;13.05.2021;16.09.2021;3:35;RHYTHM & BLUES;SUA;Nu
Botella Tras Botella;Gera MX;6116311; 30.581,56  USD ;23.05.2021;16.09.2021;4:02;HIP-HOP/RAP;Mexic;Nu
Heather;Conan Gray;6087940; 30.439,70  USD ;05.05.2021;16.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
brutal;Olivia Rodrigo;6058526; 30.292,63  USD ;31.05.2021;16.09.2021;2:53;HIP-HOP/RAP;SUA;Nu
2CB;RAF Camora;6055602; 30.278,01  USD ;21.07.2021;16.09.2021;5:07;LATIN URBAN;Columbia;Nu
Heartbreak Anthem (with David Guetta & Little Mix);Galantis;6040731; 30.203,66  USD ;24.05.2021;16.09.2021;5:39;LATIN URBAN;Suedia;Da
Bala Love;Mc Anjim;6036598; 30.182,99  USD ;14.07.2021;16.09.2021;3:23;LATIN;Columbia;Nu
SeÃ±orita;Shawn Mendes;6025235; 30.126,18  USD ;09.04.2021;16.09.2021;8:58;K-POP;Canada;Nu
Loverboy;A-Wall;6017085; 30.085,43  USD ;06.08.2021;16.09.2021;2:53;LATIN URBAN;Australia;Nu
VocÃª Beberia Ou NÃ£o Beberia?;ZÃ© Neto & Cristiano;6016274; 30.081,37  USD ;04.08.2021;16.09.2021;4:01;POP;Puerto Rico;Nu
Head & Heart (with MNEK);Joel Corry;6008844; 30.044,22  USD ;14.07.2021;16.09.2021;2:27;LATIN URBAN;Marea Britanie;Da
you broke me first;Tate McRae;5997232; 29.986,16  USD ;05.08.2021;16.09.2021;2:53;LATIN;Canada;Nu
Gangsta's Paradise;Coolio;5996779; 29.983,90  USD ;27.02.2021;16.09.2021;3:40;K-POP;SUA;Nu
Obsessed With You;Central Cee;5980474; 29.902,37  USD ;20.07.2021;16.09.2021;4:56;POP;SUA;Da
Daddy Issues;The Neighbourhood;5963043; 29.815,22  USD ;03.02.2021;16.09.2021;2:54;HIP-HOP/RAP;SUA;Nu
Wants and Needs (with Lil Baby);Drake;5902579; 29.512,90  USD ;04.07.2021;16.09.2021;3:28;HIP-HOP/RAP;Canada;Da
Here's Your Perfect;Jamie Miller;5888838; 29.444,19  USD ;23.05.2021;16.09.2021;5:58;ROCK;Puerto Rico;Nu
2/Catorce;Rauw Alejandro;5886748; 29.433,74  USD ;15.09.2021;16.09.2021;4:12;DANCE;Puerto Rico;Nu
Bohemian Rhapsody - Remastered 2011;Queen;5886479; 29.432,40  USD ;15.06.2021;16.09.2021;3:22;HIP-HOP/RAP;Marea Britanie;Nu
Fountains (with Tems);Drake;5885848; 29.429,24  USD ;21.09.2021;16.09.2021;2:54;HIP-HOP/RAP;Canada;Da
Rumors (with Cardi B);Lizzo;5879656; 29.398,28  USD ;01.08.2021;16.09.2021;2:03;ROCK;SUA;Da
A La AntigÃ¼ita;Calibre 50;5862405; 29.312,03  USD ;19.02.2021;16.09.2021;2:22;LATIN;Columbia;Nu
Talking to the Moon;Bruno Mars;5818652; 29.093,26  USD ;04.06.2021;16.09.2021;3:41;POP;SUA;Nu
Lemonade (with Gunna, Don Toliver & NAV);Internet Money;5806510; 29.032,55  USD ;23.04.2021;16.09.2021;3:12;LATIN;SUA;Da
Goosebumps - Remix;Travis Scott;5802977; 29.014,89  USD ;05.08.2021;16.09.2021;2:55;HIP-HOP/RAP;SUA;Nu
The Nights;Avicii;5783422; 28.917,11  USD ;21.05.2021;16.09.2021;5:21;LATIN URBAN;Suedia;Nu
IMY2 (with Kid Cudi);Drake;5771408; 28.857,04  USD ;21.09.2021;16.09.2021;3:12;HIP-HOP/RAP;Canada;Da
Another Love;Tom Odell;5744049; 28.720,25  USD ;30.03.2021;16.09.2021;3:03;HIP-HOP/RAP;Marea Britanie;Nu
Counting Stars;OneRepublic;5723039; 28.615,20  USD ;17.09.2021;16.09.2021;2:58;ROCK;SUA;Nu
RolÃª;TarcÃ­sio do Acordeon;5713536; 28.567,68  USD ;23.06.2017;16.09.2021;3:18;RHYTHM & BLUES;Brazilia;Nu
7am On Bridle Path;Drake;5693268; 28.466,34  USD ;21.09.2021;16.09.2021;2:31;HIP-HOP/RAP;Canada;Nu
Shallow;Lady Gaga;5683088; 28.415,44  USD ;29.08.2021;16.09.2021;4:47;LATIN URBAN;SUA;Nu
goosebumps;Travis Scott;5682183; 28.410,92  USD ;20.05.2021;16.09.2021;2:21;DANCE;SUA;Nu
Memories;Maroon 5;5678164; 28.390,82  USD ;12.07.2021;16.09.2021;3:23;POP;SUA;Nu
Race My Mind;Drake;5676743; 28.383,72  USD ;21.09.2021;16.09.2021;2:08;HIP-HOP/RAP;Canada;Nu
Yellow;Coldplay;5674909; 28.374,55  USD ;29.08.2021;16.09.2021;4:57;RHYTHM & BLUES;Marea Britanie;Nu
love nwantiti (with ElGrande Toto) - North African Remix;CKay;5667385; 28.336,93  USD ;18.02.2021;16.09.2021;4:23;RHYTHM & BLUES;Africa;Da
Mon Amour - Remix;zzoilo;5663458; 28.317,29  USD ;19.06.2021;16.09.2021;2:50;POP;SUA;Nu
Praise God;Kanye West;5658179; 28.290,90  USD ;29.08.2021;16.09.2021;3:46;HIP-HOP/RAP;SUA;Nu
Dandelions;Ruth B.;5633120; 28.165,60  USD ;30.04.2021;16.09.2021;3:26;LATIN;Canada;Nu
Riptide;Vance Joy;5627698; 28.138,49  USD ;17.02.2021;16.09.2021;2:53;LATIN URBAN;Australia;Nu
love nwantiti (ah ah ah);CKay;5619053; 28.095,27  USD ;21.05.2021;16.09.2021;2:26;AFROBEATS;Africa;Nu
Say You Won't Let Go;James Arthur;5609629; 28.048,15  USD ;21.09.2021;16.09.2021;3:46;HIP-HOP/RAP;Marea Britanie;Nu
Ela e Ela;ZÃ© Neto & Cristiano;5605816; 28.029,08  USD ;19.04.2021;16.09.2021;2:21;LATIN;Columbia;Nu
Take Me To Church;Hozier;5556773; 27.783,87  USD ;30.07.2021;16.09.2021;4:03;POP;Irlanda;Nu
Your Love (9PM);ATB;5551341; 27.756,71  USD ;18.01.2021;16.09.2021;2:44;HIP-HOP/RAP;Germania;Nu
The Real Slim Shady;Eminem;5536712; 27.683,56  USD ;18.03.2000;16.09.2021;4:44;HIP-HOP/RAP;SUA;Nu
MORENA;Luan Santana;5526898; 27.634,49  USD ;04.06.2021;16.09.2021;2:45;HIP-HOP/RAP;Brazilia;Nu
7 rings;Ariana Grande;5525535; 27.627,68  USD ;22.05.2021;16.09.2021;2:25;R&B/SOUL;SUA;Nu
Roses - Imanbek Remix;SAINt JHN;5525427; 27.627,14  USD ;03.06.2021;16.09.2021;3:28;HIP-HOP/RAP;SUA;Nu
Wake Me Up;Avicii;5510213; 27.551,07  USD ;01.03.2021;16.09.2021;3:18;HIP-HOP/RAP;Suedia;Nu
Every Breath You Take;The Police;5476455; 27.382,28  USD ;30.06.2021;16.09.2021;3:58;HIP-HOP/RAP;Marea Britanie;Nu
Rasputin;Majestic;5447371; 27.236,86  USD ;31.08.2021;16.09.2021;2:18;HIP-HOP/RAP;Marea Britanie;Nu
Fiel - Remix;Wisin;5445808; 27.229,04  USD ;18.04.2021;16.09.2021;3:35;HIP-HOP/RAP;Puerto Rico;Nu
Hold On;Justin Bieber;5439098; 27.195,49  USD ;15.02.2021;16.09.2021;3:31;RHYTHM & BLUES;Canada;Nu
EL MAKINON;KAROL G;5395263; 26.976,32  USD ;23.06.2021;16.09.2021;3:07;POP;Columbia;Nu
Fancy Like;Walker Hayes;5371072; 26.855,36  USD ;27.07.2021;16.09.2021;2:01;POP;Marea Britanie;Nu
Motley Crew;Post Malone;5357724; 26.788,62  USD ;12.01.2021;16.09.2021;3:58;ROCK;SUA;Nu
HawÃ¡i;Maluma;5354121; 26.770,61  USD ;21.02.2021;16.09.2021;3:50;HIP-HOP/RAP;Columbia;Nu
Never Going Home;Kungs;5351049; 26.755,25  USD ;13.01.2021;16.09.2021;3:49;LATIN;Franța;Nu
INFERNO;Sub Urban;5343959; 26.719,80  USD ;28.06.2021;16.09.2021;3:21;LATIN URBAN;Puerto Rico;Nu
Jocelyn Flores;XXXTENTACION;5338308; 26.691,54  USD ;23.04.2021;16.09.2021;4:02;HIP-HOP/RAP;SUA;Nu
Dreams - 2004 Remaster;Fleetwood Mac;5322838; 26.614,19  USD ;04.03.2021;16.09.2021;2:36;HIP-HOP/RAP;Marea Britanie;Nu
She Knows (with Amber Coffman & Cults);J. Cole;5310723; 26.553,62  USD ;03.01.2021;16.09.2021;2:59;HIP-HOP/RAP;SUA;Da
bad guy;Billie Eilish;5310598; 26.552,99  USD ;18.02.2021;16.09.2021;2:44;LATIN URBAN;SUA;Nu
No Role Modelz;J. Cole;5297116; 26.485,58  USD ;03.01.2021;16.09.2021;2:23;hIP-HOP/RAP;SUA;Nu
Visiting Hours;Ed Sheeran;5292027; 26.460,14  USD ;27.02.2021;16.09.2021;3:32;POP;Marea Britanie;Nu
All of Me;John Legend;5276238; 26.381,19  USD ;02.02.2019;16.09.2021;3:23;POP;Marea Britanie;Nu
Fiel;Los Legendarios;5272783; 26.363,92  USD ;11.02.2021;16.09.2021;3:32;LATIN URBAN;Puerto Rico;Nu
STAY (with Justin Bieber);The Kid LAROI;65706259; 328.531,30  USD ;09.07.2021;23.09.2021;2:21;POP;Australia;Da
Girls Want Girls (with Lil Baby);Drake;45594878; 227.974,39  USD ;21.09.2021;23.09.2021;2:03;hIP-HOP/RAP;Canada;Da
Fair Trade (with Travis Scott);Drake;43845716; 219.228,58  USD ;21.09.2021;23.09.2021;3:23;hIP-HOP/RAP;Canada;Da
INDUSTRY BABY (with Jack Harlow);Lil Nas X;42154185; 210.770,93  USD ;23.07.2021;23.09.2021;3:32;HIP-HOP/RAP;SUA;Da
Way 2 Sexy (with Future & Young Thug);Drake;38422223; 192.111,12  USD ;21.09.2021;23.09.2021;1:20;HIP-HOP/RAP;Canada;Da
Champagne Poetry;Drake;34053174; 170.265,87  USD ;21.09.2021;23.09.2021;3:56;HIP-HOP/RAP;Canada;Nu
Bad Habits;Ed Sheeran;32477559; 162.387,80  USD ;11.06.2021;23.09.2021;3:32;POP;Marea Britanie;Nu
Beggin';Måneskin;29650985; 148.254,93  USD ;08.12.2017;23.09.2021;3:31;ROCK;Italia;Nu
Pepas;Farruko;29585088; 147.925,44  USD ;08.12.2021;23.09.2021;4:47;LATIN URBAN;Puerto Rico;Nu
Knife Talk (with 21 Savage ft. Project Pat);Drake;28347807; 141.739,04  USD ;21.09.2021;23.09.2021;4:01;HIP-HOP/RAP;Canada;Da
Woman;Doja Cat;27507841; 137.539,21  USD ;27.06.2021;23.09.2021;2:25;POP;SUA;Nu
Papiâ€™s Home;Drake;27368851; 136.844,26  USD ;21.09.2021;23.09.2021;3:26;HIP-HOP/RAP;Canada;Nu
Hurricane;Kanye West;27212883; 136.064,42  USD ;08.08.2021;23.09.2021;4:03;HIP-HOP/RAP;SUA;Nu
good 4 u;Olivia Rodrigo;26877818; 134.389,09  USD ;21.05.2021;23.09.2021;2:58;POP;SUA;Nu
TSU;Drake;26226066; 131.130,33  USD ;21.09.2021;23.09.2021;3:21;HIP-HOP/RAP;Canada;Nu
In The Bible (with Lil Durk & Giveon);Drake;26043915; 130.219,58  USD ;21.09.2021;23.09.2021;2:23;HIP-HOP/RAP;Canada;Da
Love All (with JAY-Z);Drake;25554209; 127.771,05  USD ;21.09.2021;23.09.2021;3:04;HIP-HOP/RAP;Canada;Da
Need To Know;Doja Cat;25440855; 127.204,28  USD ;24.06.2021;23.09.2021;3:30;POP;SUA;Nu
Heat Waves;Glass Animals;24827159; 124.135,80  USD ;07.08.2020;23.09.2021;3:58;POP;Marea Britanie;Nu
No Friends In The Industry;Drake;23993346; 119.966,73  USD ;21.09.2021;23.09.2021;3:05;HIP-HOP/RAP;Canada;Nu
Happier Than Ever;Billie Eilish;22684148; 113.420,74  USD ;30.07.2021;23.09.2021;4:58;ALTERNATIVE;SUA;Nu
N 2 Deep;Drake;22025962; 110.129,81  USD ;21.09.2021;23.09.2021;3:47;HIP-HOP/RAP;Canada;Nu
MONTERO (Call Me By Your Name);Lil Nas X;21529938; 107.649,69  USD ;17.09.2021;23.09.2021;2:17;POP;SUA;Nu
Kiss Me More (with SZA);Doja Cat;20896669; 104.483,35  USD ;09.04.2021;23.09.2021;3:28;POP;SUA;Da
Todo De Ti;Rauw Alejandro;19097158; 95.485,79  USD ;22.05.2021;23.09.2021;3:19;LATIN URBAN;Puerto Rico;Nu
Pipe Down;Drake;18888249; 94.441,25  USD ;21.09.2021;23.09.2021;3:45;HIP-HOP/RAP;Canada;Nu
7am On Bridle Path;Drake;18180843; 90.904,22  USD ;21.09.2021;23.09.2021;2:31;HIP-HOP/RAP;Canada;Nu
Volví;Aventura;17626028; 88.130,14  USD ;03.08.2021;23.09.2021;3:50;LATIN URBAN;Republica Dominicană;Nu
Yonaguni;Bad Bunny;17385575; 86.927,88  USD ;04.06.2021;23.09.2021;3:26;LATIN URBAN;Puerto Rico;Nu
Race My Mind;Drake;17035250; 85.176,25  USD ;21.09.2021;23.09.2021;2:08;HIP-HOP/RAP;Canada;Nu
